Date,Total,year,month,quarter
2019-11-01,1004880.0,2019,11,4
2019-12-01,1044100.0,2019,12,4
2020-01-01,1065138.0,2020,1,1
2020-02-01,964310.0,2020,2,1
2020-03-01,1010081.0,2020,3,1
2020-04-01,879590.0,2020,4,2
2020-05-01,873551.0,2020,5,2
2020-06-01,995664.0,2020,6,2
2020-07-01,1051041.0,2020,7,3
2020-08-01,1034302.0,2020,8,3
2020-09-01,1015547.0,2020,9,3
2020-10-01,1054195.0,2020,10,4
2020-11-01,993810.0,2020,11,4
2020-12-01,1043046.0,2020,12,4
2021-01-01,965453.0,2021,1,1
2021-02-01,884395.0,2021,2,1
2021-03-01,1011923.0,2021,3,1
2021-04-01,971782.0,2021,4,2
2021-05-01,955809.0,2021,5,2
2021-06-01,970794.0,2021,6,2
2021-07-01,971831.0,2021,7,3
2021-08-01,985143.0,2021,8,3
2021-09-01,923610.0,2021,9,3
2021-10-01,926978.0,2021,10,4
2021-11-01,913264.0,2021,11,4
2021-12-01,934510.0,2021,12,4
2022-01-01,909304.0,2022,1,1
2022-02-01,848324.0,2022,2,1
2022-03-01,962449.0,2022,3,1
2022-04-01,895710.0,2022,4,2
2022-05-01,925564.0,2022,5,2
2022-06-01,901957.0,2022,6,2
2022-07-01,891995.0,2022,7,3
2022-08-01,943783.0,2022,8,3
2022-09-01,866382.0,2022,9,3
2022-10-01,909078.0,2022,10,4
2022-11-01,882737.0,2022,11,4
2022-12-01,902660.0,2022,12,4
2023-01-01,908455.0,2023,1,1
2023-02-01,818322.0,2023,2,1
2023-03-01,926035.0,2023,3,1
2023-04-01,869678.0,2023,4,2
2023-05-01,924938.0,2023,5,2
